"survey_key","year","sessionID","session","faculty","school","dept","uos_code","uos_name","stream","staff member","survey_def","online","enrolled","responses","%","o1","o2"
"fft157920","2016","S2C","Semester 2","Science","","Psychology","PSYC2014","Personality and Intelligence 1","Tutorial W15A","Llew Mills","fft-m_tutorials","1","22","19","86","They've expanded on the lecture material which has been good as the tutorial is very informative. Llew is good at explaining concepts and theories learned in lectures into an alternate form that is understandable. ","While there is a lot of content to get through in the 50min tutorial, if they could go a bit slower just to ensure that the main concepts are grasped, that'd be great. Also, ensuring that we finish at 3:55 as there's a psych lecture at 4:05 at Eastern Av. Lastly, it would be great if people wern't chosen at random from the roll to answer questions during class as this is really confronting for students who aren't comfortable with responding in front of the class, especially if they don't know the answers. This would make tutorials more enjoyable and less intimidating. "
"fft157920","2016","S2C","Semester 2","Science","","Psychology","PSYC2014","Personality and Intelligence 1","Tutorial W15A","Llew Mills","fft-m_tutorials","1","22","19","86","Llew is a great tutor, he puts in a lot of preparation, has an engaging style and keeps the tutorial on track thus ensuring that we cover all the material whilst having a lot of fun.","nothing, all good"
"fft157920","2016","S2C","Semester 2","Science","","Psychology","PSYC2014","Personality and Intelligence 1","Tutorial W15A","Llew Mills","fft-m_tutorials","1","22","19","86","Discussing concept together as a class","There needs to be far more time spent on the assignment, there is no point in asking if people have questions about it in the first two weeks, no one has started it at this point. Also it all feels very rushed in tutorials, filling out questions on a sheet does not assist my learning when I don't understand the concepts they are referring too"
"fft157920","2016","S2C","Semester 2","Science","","Psychology","PSYC2014","Personality and Intelligence 1","Tutorial W15A","Llew Mills","fft-m_tutorials","1","22","19","86","Humor, respect and Llew's succint versions of Fiona's ""need to knows""","Our room is a dank, airless dungeon. Abandon hope all ye who enter."
"fft157920","2016","S2C","Semester 2","Science","","Psychology","PSYC2014","Personality and Intelligence 1","Tutorial W15A","Llew Mills","fft-m_tutorials","1","22","19","86","have adequate time to discuss about the questions","repeat the answers to the questions for second time"
"fft157920","2016","S2C","Semester 2","Science","","Psychology","PSYC2014","Personality and Intelligence 1","Tutorial W15A","Llew Mills","fft-m_tutorials","1","22","19","86","The lack of handholding. He doesn't spoon-feed us the answers to tutorial questions. It really engages the class and forces us to think critically through discussion and collaborative learning.","The pace of content could be revised. I feel we skim over some important concepts in favour of others."
"fft157920","2016","S2C","Semester 2","Science","","Psychology","PSYC2014","Personality and Intelligence 1","Tutorial W15A","Llew Mills","fft-m_tutorials","1","22","19","86","Working in small groups and discussing as a class afterwards","Pace at which questions are discussed"
"fft157920","2016","S2C","Semester 2","Science","","Psychology","PSYC2014","Personality and Intelligence 1","Tutorial W15A","Llew Mills","fft-m_tutorials","1","22","19","86","I have found the content of the tutorials really interesting, and I have found it helpful to discuss in class.","I do think that I might be able to get more out of the class if it were a bit more structured, in terms of being able to have a chance to work through all of the set questions in a lesson. Currently we are being split into groups,  but I think it would be good to work through the questions together in detail because we have already answered these independently in preparation"
"fft157920","2016","S2C","Semester 2","Science","","Psychology","PSYC2014","Personality and Intelligence 1","Tutorial W15A","Llew Mills","fft-m_tutorials","1","22","19","86","Class discussion
You have very well formulated answers to all of our questions, and it really sounds like you know a lot about what you are talking about 
I really enjoy coming to the tutorials, best tutor I have had in psychology so far!","This is too late now, however I would have liked to have more tutorial time directed at the assignment"
"fft157920","2016","S2C","Semester 2","Science","","Psychology","PSYC2014","Personality and Intelligence 1","Tutorial W15A","Llew Mills","fft-m_tutorials","1","22","19","86","Engaging, nice guy, HE IS THE BEST EVER.","Perhaps not so much rushing of the content"
